==============================================================
  FULL EXPERIMENT SUMMARY (MERGED) — Fri Apr 10 01:09:51 EDT 2026
  17/18 experiments (excluding fov7_30c8p_r70_discriminative)
==============================================================

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
semantic_lna               k2=1     | 0.978656 +/- 0.008223 | 0.968833 +/- 0.003329 | 0.022222 +/- 0.038490
semantic_lna               k2=2     | 0.983422 +/- 0.008274 | 0.974333 +/- 0.002363 | 0.044444 +/- 0.076980
semantic_lna               k2=3     | 0.983955 +/- 0.008478 | 0.974333 +/- 0.002363 | 0.044444 +/- 0.076980
semantic_lna               k2=4     | 0.983955 +/- 0.008478 | 0.974333 +/- 0.002363 | 0.044444 +/- 0.076980
semantic_lna               k2=5     | 0.983955 +/- 0.008478 | 0.974333 +/- 0.002363 | 0.044444 +/- 0.076980
semantic_lna_random        k2=0     | 0.959242 +/- 0.020244 | 0.958167 +/- 0.003819 | 0.000000 +/- 0.000000
semantic_lna_random        k2=1     | 0.963700 +/- 0.017530 | 0.963333 +/- 0.001041 | 0.000000 +/- 0.000000
semantic_lna_random        k2=2     | 0.968323 +/- 0.013821 | 0.964500 +/- 0.001323 | 0.000000 +/- 0.000000
semantic_lna_random        k2=3     | 0.970872 +/- 0.012581 | 0.966833 +/- 0.000289 | 0.022222 +/- 0.038490
semantic_lna_random        k2=4     | 0.974355 +/- 0.010320 | 0.967500 +/- 0.000500 | 0.022222 +/- 0.038490
semantic_lna_random        k2=5     | 0.977058 +/- 0.008587 | 0.970333 +/- 0.001528 | 0.022222 +/- 0.038490
semantic_lna_single        k2=0     | 0.959502 +/- 0.020629 | 0.958167 +/- 0.003819 | 0.000000 +/- 0.000000
semantic_lna_single        k2=1     | 0.980520 +/- 0.010666 | 0.972167 +/- 0.000764 | 0.027778 +/- 0.048112
semantic_lna_single        k2=2     | 0.983960 +/- 0.010539 | 0.973500 +/- 0.000500 | 0.027778 +/- 0.048112
semantic_lna_single        k2=3     | 0.984128 +/- 0.010624 | 0.973500 +/- 0.000500 | 0.027778 +/- 0.048112
semantic_lna_single        k2=4     | 0.984139 +/- 0.010606 | 0.973500 +/- 0.000500 | 0.027778 +/- 0.048112
