==============================================================
  FULL EXPERIMENT SUMMARY (MERGED) — Fri Apr 10 01:09:51 EDT 2026
  17/18 experiments (excluding fov7_30c8p_r70_discriminative)
==============================================================

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
semantic_lna_random_single k2=0     | 0.923383 +/- 0.017897 | 0.865833 +/- 0.024548 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=1     | 0.937918 +/- 0.015681 | 0.884667 +/- 0.024374 | 0.011494 +/- 0.019909
semantic_lna_random_single k2=2     | 0.947029 +/- 0.012890 | 0.896333 +/- 0.023116 | 0.012346 +/- 0.021383
semantic_lna_random_single k2=3     | 0.952753 +/- 0.013617 | 0.904000 +/- 0.019793 | 0.011494 +/- 0.019909
semantic_lna_random_single k2=4     | 0.956569 +/- 0.012117 | 0.908500 +/- 0.018520 | 0.012821 +/- 0.022206
semantic_lna_random_single k2=5     | 0.959202 +/- 0.012166 | 0.910333 +/- 0.019763 | 0.012821 +/- 0.022206

────────────────────────────────────────────────────────────────
Experiment: fov5_20c8p_r70_original
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.804812 +/- 0.021966 | 0.842024 +/- 0.017414 | 0.128379 +/- 0.058512
semantic                   1        | 0.912873 +/- 0.004060 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   2        | 0.927980 +/- 0.000299 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   3        | 0.928571 +/- 0.000000 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   4        | 0.928571 +/- 0.000000 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   5        | 0.928571 +/- 0.000000 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.804812 +/- 0.021966 | 0.842024 +/- 0.017414 | 0.128379 +/- 0.058512
semantic_random            1        | 0.819149 +/- 0.018245 | 0.861905 +/- 0.014363 | 0.143725 +/- 0.058073
semantic_random            2        | 0.833318 +/- 0.012491 | 0.884524 +/- 0.010488 | 0.146649 +/- 0.087622
semantic_random            3        | 0.843628 +/- 0.013887 | 0.899166 +/- 0.011262 | 0.154650 +/- 0.083634
semantic_random            4        | 0.855675 +/- 0.009160 | 0.914047 +/- 0.009136 | 0.165393 +/- 0.060163
semantic_random            5        | 0.866764 +/- 0.003817 | 0.928929 +/- 0.006546 | 0.168706 +/- 0.067787
semantic_lna               k2=0     | 0.868495 +/- 0.025458 | 0.819167 +/- 0.026312 | 0.113853 +/- 0.053032
semantic_lna               k2=1     | 0.895198 +/- 0.022284 | 0.871167 +/- 0.026326 | 0.196262 +/- 0.064329
semantic_lna               k2=2     | 0.899533 +/- 0.022952 | 0.871167 +/- 0.026326 | 0.196262 +/- 0.064329
semantic_lna               k2=3     | 0.899692 +/- 0.022961 | 0.871167 +/- 0.026326 | 0.196262 +/- 0.064329
semantic_lna               k2=4     | 0.899692 +/- 0.022961 | 0.871167 +/- 0.026326 | 0.196262 +/- 0.064329
semantic_lna               k2=5     | 0.899692 +/- 0.022961 | 0.871167 +/- 0.026326 | 0.196262 +/- 0.064329
semantic_lna_random        k2=0     | 0.868495 +/- 0.025458 | 0.819167 +/- 0.026312 | 0.113853 +/- 0.053032
semantic_lna_random        k2=1     | 0.874742 +/- 0.023752 | 0.829333 +/- 0.024932 | 0.133958 +/- 0.050384
semantic_lna_random        k2=2     | 0.879870 +/- 0.023714 | 0.838167 +/- 0.025760 | 0.140947 +/- 0.064905
semantic_lna_random        k2=3     | 0.885423 +/- 0.023116 | 0.847500 +/- 0.025105 | 0.141894 +/- 0.063821
semantic_lna_random        k2=4     | 0.888414 +/- 0.022631 | 0.852667 +/- 0.025101 | 0.150839 +/- 0.076283
semantic_lna_random        k2=5     | 0.891173 +/- 0.022932 | 0.857667 +/- 0.026160 | 0.169057 +/- 0.085439
semantic_lna_single        k2=0     | 0.871650 +/- 0.024671 | 0.824667 +/- 0.021286 | 0.112886 +/- 0.028567
semantic_lna_single        k2=1     | 0.899367 +/- 0.020622 | 0.873167 +/- 0.018936 | 0.211514 +/- 0.089298
semantic_lna_single        k2=2     | 0.902065 +/- 0.020233 | 0.873167 +/- 0.018936 | 0.211514 +/- 0.089298
semantic_lna_single        k2=3     | 0.902278 +/- 0.020335 | 0.873167 +/- 0.018936 | 0.211514 +/- 0.089298
semantic_lna_single        k2=4     | 0.902278 +/- 0.020335 | 0.873167 +/- 0.018936 | 0.211514 +/- 0.089298
semantic_lna_single        k2=5     | 0.902278 +/- 0.020335 | 0.873167 +/- 0.018936 | 0.211514 +/- 0.089298
semantic_lna_random_single k2=0     | 0.871650 +/- 0.024671 | 0.824667 +/- 0.021286 | 0.112886 +/- 0.028567
semantic_lna_random_single k2=1     | 0.878532 +/- 0.022563 | 0.835167 +/- 0.020040 | 0.121212 +/- 0.037879
semantic_lna_random_single k2=2     | 0.884789 +/- 0.022405 | 0.847500 +/- 0.020791 | 0.141775 +/- 0.054232
semantic_lna_random_single k2=3     | 0.888791 +/- 0.020431 | 0.853833 +/- 0.019002 | 0.152293 +/- 0.059726
semantic_lna_random_single k2=4     | 0.892342 +/- 0.020349 | 0.859000 +/- 0.019346 | 0.175549 +/- 0.086859
semantic_lna_random_single k2=5     | 0.896171 +/- 0.019947 | 0.864167 +/- 0.018058 | 0.168843 +/- 0.089525

────────────────────────────────────────────────────────────────
Experiment: fov5_20c8p_r70_spatial
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.882429 +/- 0.029346 | 0.869167 +/- 0.020517 | 0.025269 +/- 0.024437
semantic                   1        | 0.965806 +/- 0.014275 | 0.983571 +/- 0.002575 | 0.455556 +/- 0.076980
semantic                   2        | 0.988041 +/- 0.005439 | 0.998691 +/- 0.000744 | 0.880099 +/- 0.056481
semantic                   3        | 0.994573 +/- 0.003607 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   4        | 0.997792 +/- 0.001817 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   5        | 0.999404 +/- 0.000558 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.882429 +/- 0.029346 | 0.869167 +/- 0.020517 | 0.025269 +/- 0.024437
semantic_random            1        | 0.898101 +/- 0.025669 | 0.894762 +/- 0.015707 | 0.035112 +/- 0.030439
semantic_random            2        | 0.911793 +/- 0.020005 | 0.912381 +/- 0.017823 | 0.054054 +/- 0.054054
semantic_random            3        | 0.922561 +/- 0.018169 | 0.928333 +/- 0.013460 | 0.051367 +/- 0.029671
semantic_random            4        | 0.932109 +/- 0.015271 | 0.940000 +/- 0.012531 | 0.065026 +/- 0.016151
semantic_random            5        | 0.942316 +/- 0.014272 | 0.952143 +/- 0.007726 | 0.093593 +/- 0.012586
semantic_lna               k2=0     | 0.911940 +/- 0.019790 | 0.847667 +/- 0.027687 | 0.030303 +/- 0.052486
semantic_lna               k2=1     | 0.950820 +/- 0.009939 | 0.918333 +/- 0.017567 | 0.121967 +/- 0.077351
semantic_lna               k2=2     | 0.962522 +/- 0.006983 | 0.924833 +/- 0.015940 | 0.165709 +/- 0.071340
semantic_lna               k2=3     | 0.964209 +/- 0.006844 | 0.926000 +/- 0.015898 | 0.165709 +/- 0.071340
semantic_lna               k2=4     | 0.965842 +/- 0.007316 | 0.926000 +/- 0.015898 | 0.165709 +/- 0.071340
semantic_lna               k2=5     | 0.966841 +/- 0.007951 | 0.926000 +/- 0.015898 | 0.165709 +/- 0.071340
semantic_lna_random        k2=0     | 0.911940 +/- 0.019790 | 0.847667 +/- 0.027687 | 0.030303 +/- 0.052486
semantic_lna_random        k2=1     | 0.923137 +/- 0.015875 | 0.872167 +/- 0.028268 | 0.048794 +/- 0.046993
semantic_lna_random        k2=2     | 0.931268 +/- 0.013667 | 0.884500 +/- 0.020839 | 0.060105 +/- 0.064967
semantic_lna_random        k2=3     | 0.936965 +/- 0.011927 | 0.891833 +/- 0.019328 | 0.049802 +/- 0.048449
semantic_lna_random        k2=4     | 0.942493 +/- 0.011846 | 0.900000 +/- 0.016530 | 0.082418 +/- 0.068983
semantic_lna_random        k2=5     | 0.948471 +/- 0.010024 | 0.909833 +/- 0.018724 | 0.095226 +/- 0.037679
semantic_lna_single        k2=0     | 0.915562 +/- 0.016029 | 0.857833 +/- 0.021032 | 0.021169 +/- 0.018340
semantic_lna_single        k2=1     | 0.953345 +/- 0.005628 | 0.923500 +/- 0.017022 | 0.099067 +/- 0.017537
semantic_lna_single        k2=2     | 0.962770 +/- 0.006682 | 0.929833 +/- 0.016780 | 0.139563 +/- 0.073611
semantic_lna_single        k2=3     | 0.964866 +/- 0.006835 | 0.930500 +/- 0.016302 | 0.139563 +/- 0.073611
semantic_lna_single        k2=4     | 0.965977 +/- 0.007522 | 0.930500 +/- 0.016302 | 0.139563 +/- 0.073611
semantic_lna_single        k2=5     | 0.966437 +/- 0.007933 | 0.930500 +/- 0.016302 | 0.139563 +/- 0.073611
semantic_lna_random_single k2=0     | 0.915562 +/- 0.016029 | 0.857833 +/- 0.021032 | 0.021169 +/- 0.018340
semantic_lna_random_single k2=1     | 0.928814 +/- 0.011959 | 0.882000 +/- 0.020019 | 0.049802 +/- 0.016314
semantic_lna_random_single k2=2     | 0.937654 +/- 0.009534 | 0.898833 +/- 0.020835 | 0.050519 +/- 0.017302
semantic_lna_random_single k2=3     | 0.943099 +/- 0.008016 | 0.909167 +/- 0.021014 | 0.063741 +/- 0.010742
semantic_lna_random_single k2=4     | 0.948938 +/- 0.007826 | 0.915333 +/- 0.017765 | 0.062038 +/- 0.008444
semantic_lna_random_single k2=5     | 0.952627 +/- 0.006528 | 0.918667 +/- 0.017243 | 0.074249 +/- 0.026243

────────────────────────────────────────────────────────────────
Experiment: fov7_10c8p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.948923 +/- 0.010418 | 0.884815 +/- 0.019956 | 0.045635 +/- 0.047743
semantic                   1        | 0.984918 +/- 0.001511 | 0.979630 +/- 0.007398 | 0.371429 +/- 0.144984
semantic                   2        | 0.994832 +/- 0.002939 | 0.993704 +/- 0.004243 | 0.690599 +/- 0.165406
semantic                   3        | 0.998891 +/- 0.000701 | 0.999444 +/- 0.000962 | 0.966667 +/- 0.057735
semantic                   4        | 0.999841 +/- 0.000182 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   5        | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.948923 +/- 0.010418 | 0.884815 +/- 0.019956 | 0.045635 +/- 0.047743
semantic_random            1        | 0.958476 +/- 0.009432 | 0.908518 +/- 0.019738 | 0.057981 +/- 0.032349
semantic_random            2        | 0.965350 +/- 0.008607 | 0.926852 +/- 0.017368 | 0.060732 +/- 0.052758
semantic_random            3        | 0.972200 +/- 0.007304 | 0.941852 +/- 0.011868 | 0.088716 +/- 0.048358
semantic_random            4        | 0.977613 +/- 0.006287 | 0.955556 +/- 0.008678 | 0.132401 +/- 0.043482
semantic_random            5        | 0.981934 +/- 0.004601 | 0.964074 +/- 0.007705 | 0.197436 +/- 0.100099
semantic_lna               k2=0     | 0.969125 +/- 0.004741 | 0.843333 +/- 0.036828 | 0.056760 +/- 0.058932
semantic_lna               k2=1     | 0.979756 +/- 0.005082 | 0.898000 +/- 0.021932 | 0.123872 +/- 0.016763
semantic_lna               k2=2     | 0.982077 +/- 0.004689 | 0.903333 +/- 0.021221 | 0.131481 +/- 0.019511
semantic_lna               k2=3     | 0.983510 +/- 0.003530 | 0.905333 +/- 0.019399 | 0.131481 +/- 0.019511
semantic_lna               k2=4     | 0.983610 +/- 0.003605 | 0.905333 +/- 0.019399 | 0.131481 +/- 0.019511
semantic_lna               k2=5     | 0.983622 +/- 0.003617 | 0.905333 +/- 0.019399 | 0.131481 +/- 0.019511
semantic_lna_random        k2=0     | 0.969125 +/- 0.004741 | 0.843333 +/- 0.036828 | 0.056760 +/- 0.058932
semantic_lna_random        k2=1     | 0.973642 +/- 0.003821 | 0.867000 +/- 0.027839 | 0.057734 +/- 0.058854
semantic_lna_random        k2=2     | 0.976662 +/- 0.004796 | 0.878333 +/- 0.033650 | 0.072633 +/- 0.039064
semantic_lna_random        k2=3     | 0.979108 +/- 0.004144 | 0.888333 +/- 0.027209 | 0.094577 +/- 0.041255
semantic_lna_random        k2=4     | 0.981098 +/- 0.004104 | 0.896000 +/- 0.023580 | 0.095370 +/- 0.039901
semantic_lna_random        k2=5     | 0.982039 +/- 0.004076 | 0.901333 +/- 0.022301 | 0.123872 +/- 0.016763
semantic_lna_single        k2=0     | 0.968775 +/- 0.004862 | 0.847000 +/- 0.038197 | 0.037152 +/- 0.032323
semantic_lna_single        k2=1     | 0.980688 +/- 0.003668 | 0.900667 +/- 0.020648 | 0.069655 +/- 0.018731
semantic_lna_single        k2=2     | 0.983436 +/- 0.003382 | 0.911333 +/- 0.017786 | 0.118021 +/- 0.073294
semantic_lna_single        k2=3     | 0.984958 +/- 0.002304 | 0.912000 +/- 0.016643 | 0.118021 +/- 0.073294
semantic_lna_single        k2=4     | 0.985036 +/- 0.002384 | 0.912000 +/- 0.016643 | 0.118021 +/- 0.073294
semantic_lna_single        k2=5     | 0.985036 +/- 0.002384 | 0.912000 +/- 0.016643 | 0.118021 +/- 0.073294
semantic_lna_random_single k2=0     | 0.968775 +/- 0.004862 | 0.847000 +/- 0.038197 | 0.037152 +/- 0.032323
semantic_lna_random_single k2=1     | 0.974327 +/- 0.003496 | 0.871667 +/- 0.026274 | 0.052304 +/- 0.006691
semantic_lna_random_single k2=2     | 0.977578 +/- 0.003493 | 0.887000 +/- 0.026211 | 0.072886 +/- 0.039092
semantic_lna_random_single k2=3     | 0.980036 +/- 0.003341 | 0.895333 +/- 0.021548 | 0.078115 +/- 0.048086
semantic_lna_random_single k2=4     | 0.982312 +/- 0.002859 | 0.902667 +/- 0.022279 | 0.115488 +/- 0.075294
semantic_lna_random_single k2=5     | 0.983433 +/- 0.002751 | 0.905000 +/- 0.019975 | 0.116578 +/- 0.074006

────────────────────────────────────────────────────────────────
Experiment: fov7_20c12p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.912943 +/- 0.003350 | 0.940625 +/- 0.014554 | 0.000000 +/- 0.000000
semantic                   1        | 0.963953 +/- 0.002511 | 0.989895 +/- 0.001804 | 0.208061 +/- 0.036439
semantic                   2        | 0.980697 +/- 0.003545 | 0.997395 +/- 0.000722 | 0.439815 +/- 0.062628
semantic                   3        | 0.988051 +/- 0.002406 | 0.999375 +/- 0.000542 | 0.763889 +/- 0.104859
semantic                   4        | 0.993028 +/- 0.001457 | 0.999896 +/- 0.000180 | 0.958333 +/- 0.072169
semantic                   5        | 0.997583 +/- 0.000630 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.912943 +/- 0.003350 | 0.940625 +/- 0.014554 | 0.000000 +/- 0.000000
semantic_random            1        | 0.923707 +/- 0.002427 | 0.950625 +/- 0.011366 | 0.000000 +/- 0.000000
semantic_random            2        | 0.931759 +/- 0.002099 | 0.957917 +/- 0.009583 | 0.000000 +/- 0.000000
semantic_random            3        | 0.938227 +/- 0.002219 | 0.965000 +/- 0.006760 | 0.029644 +/- 0.025692
semantic_random            4        | 0.944314 +/- 0.001194 | 0.968958 +/- 0.006497 | 0.049678 +/- 0.006045
semantic_random            5        | 0.949800 +/- 0.000676 | 0.973229 +/- 0.007707 | 0.068093 +/- 0.028429
semantic_lna               k2=0     | 0.939761 +/- 0.024555 | 0.924500 +/- 0.005292 | 0.020833 +/- 0.036084
semantic_lna               k2=1     | 0.960306 +/- 0.015806 | 0.948667 +/- 0.001041 | 0.086111 +/- 0.074691
semantic_lna               k2=2     | 0.972089 +/- 0.008247 | 0.950667 +/- 0.001893 | 0.092063 +/- 0.079871
semantic_lna               k2=3     | 0.977344 +/- 0.007859 | 0.953667 +/- 0.003786 | 0.092063 +/- 0.079871
semantic_lna               k2=4     | 0.982193 +/- 0.006194 | 0.954000 +/- 0.003606 | 0.092063 +/- 0.079871
semantic_lna               k2=5     | 0.983608 +/- 0.005664 | 0.954333 +/- 0.003512 | 0.095726 +/- 0.083533
semantic_lna_random        k2=0     | 0.939761 +/- 0.024555 | 0.924500 +/- 0.005292 | 0.020833 +/- 0.036084
semantic_lna_random        k2=1     | 0.947916 +/- 0.020485 | 0.930333 +/- 0.003617 | 0.041667 +/- 0.072169
semantic_lna_random        k2=2     | 0.952566 +/- 0.018021 | 0.936333 +/- 0.003175 | 0.041667 +/- 0.072169
semantic_lna_random        k2=3     | 0.957844 +/- 0.015801 | 0.941500 +/- 0.000866 | 0.041667 +/- 0.072169
semantic_lna_random        k2=4     | 0.962234 +/- 0.014075 | 0.943000 +/- 0.002000 | 0.047619 +/- 0.082479
semantic_lna_random        k2=5     | 0.965886 +/- 0.011911 | 0.946000 +/- 0.003279 | 0.047619 +/- 0.082479
semantic_lna_single        k2=0     | 0.939422 +/- 0.024804 | 0.924500 +/- 0.005292 | 0.020833 +/- 0.036084
semantic_lna_single        k2=1     | 0.960450 +/- 0.014899 | 0.948000 +/- 0.004770 | 0.088889 +/- 0.076980
semantic_lna_single        k2=2     | 0.969841 +/- 0.010375 | 0.951000 +/- 0.003500 | 0.098901 +/- 0.085827
semantic_lna_single        k2=3     | 0.973892 +/- 0.012492 | 0.954000 +/- 0.000500 | 0.126984 +/- 0.112520
semantic_lna_single        k2=4     | 0.976603 +/- 0.013346 | 0.954333 +/- 0.001041 | 0.126984 +/- 0.112520
semantic_lna_single        k2=5     | 0.977905 +/- 0.014379 | 0.954667 +/- 0.001607 | 0.132035 +/- 0.115492
semantic_lna_random_single k2=0     | 0.939422 +/- 0.024804 | 0.924500 +/- 0.005292 | 0.020833 +/- 0.036084
semantic_lna_random_single k2=1     | 0.946294 +/- 0.022176 | 0.933333 +/- 0.003617 | 0.083333 +/- 0.072169
semantic_lna_random_single k2=2     | 0.952691 +/- 0.019067 | 0.937167 +/- 0.002363 | 0.062500 +/- 0.062500
semantic_lna_random_single k2=3     | 0.957480 +/- 0.017170 | 0.941000 +/- 0.000500 | 0.064052 +/- 0.066820
semantic_lna_random_single k2=4     | 0.961648 +/- 0.015231 | 0.944667 +/- 0.003175 | 0.086111 +/- 0.074691
semantic_lna_random_single k2=5     | 0.964662 +/- 0.014908 | 0.946000 +/- 0.001732 | 0.062500 +/- 0.062500

────────────────────────────────────────────────────────────────
Experiment: fov7_20c4p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.935444 +/- 0.017315 | 0.902778 +/- 0.019483 | 0.009009 +/- 0.015604
semantic                   1        | 0.968742 +/- 0.010596 | 0.980417 +/- 0.007982 | 0.174298 +/- 0.102729
semantic                   2        | 0.986759 +/- 0.005495 | 0.993056 +/- 0.004571 | 0.517857 +/- 0.099425
semantic                   3        | 0.993971 +/- 0.003573 | 0.997500 +/- 0.001816 | 0.735353 +/- 0.121073
semantic                   4        | 0.997842 +/- 0.002295 | 0.999028 +/- 0.000867 | 0.912698 +/- 0.083616
semantic                   5        | 0.999897 +/- 0.000036 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.935444 +/- 0.017315 | 0.902778 +/- 0.019483 | 0.009009 +/- 0.015604
semantic_random            1        | 0.944414 +/- 0.016205 | 0.923889 +/- 0.015031 | 0.009259 +/- 0.016038
semantic_random            2        | 0.951429 +/- 0.014185 | 0.936389 +/- 0.014370 | 0.027778 +/- 0.048112
semantic_random            3        | 0.957010 +/- 0.012917 | 0.947917 +/- 0.012937 | 0.063564 +/- 0.067922
semantic_random            4        | 0.962714 +/- 0.011357 | 0.957361 +/- 0.013238 | 0.049020 +/- 0.044927
semantic_random            5        | 0.966279 +/- 0.010917 | 0.964861 +/- 0.011345 | 0.065163 +/- 0.072248
semantic_lna               k2=0     | 0.937631 +/- 0.018119 | 0.904000 +/- 0.030939 | 0.010101 +/- 0.017495
semantic_lna               k2=1     | 0.962363 +/- 0.011247 | 0.939333 +/- 0.012014 | 0.052083 +/- 0.090211
semantic_lna               k2=2     | 0.976193 +/- 0.003594 | 0.944000 +/- 0.009657 | 0.064516 +/- 0.111745
semantic_lna               k2=3     | 0.982647 +/- 0.002248 | 0.949000 +/- 0.009341 | 0.073371 +/- 0.081623
semantic_lna               k2=4     | 0.985839 +/- 0.004629 | 0.949167 +/- 0.009609 | 0.073371 +/- 0.081623
semantic_lna               k2=5     | 0.987433 +/- 0.006116 | 0.949667 +/- 0.010420 | 0.073371 +/- 0.081623
semantic_lna_random        k2=0     | 0.937631 +/- 0.018119 | 0.904000 +/- 0.030939 | 0.010101 +/- 0.017495
semantic_lna_random        k2=1     | 0.945382 +/- 0.015071 | 0.914833 +/- 0.025151 | 0.030303 +/- 0.052486
semantic_lna_random        k2=2     | 0.952470 +/- 0.013324 | 0.924833 +/- 0.020337 | 0.020202 +/- 0.034991
semantic_lna_random        k2=3     | 0.957900 +/- 0.010204 | 0.927000 +/- 0.022754 | 0.030303 +/- 0.052486
semantic_lna_random        k2=4     | 0.962772 +/- 0.009699 | 0.930000 +/- 0.018875 | 0.031250 +/- 0.054127
semantic_lna_random        k2=5     | 0.966749 +/- 0.007316 | 0.934500 +/- 0.014807 | 0.031250 +/- 0.054127
semantic_lna_single        k2=0     | 0.938909 +/- 0.019073 | 0.905167 +/- 0.029353 | 0.010101 +/- 0.017495
semantic_lna_single        k2=1     | 0.961812 +/- 0.011805 | 0.937167 +/- 0.012712 | 0.053763 +/- 0.093121
semantic_lna_single        k2=2     | 0.975160 +/- 0.007283 | 0.940833 +/- 0.011117 | 0.055556 +/- 0.096225
semantic_lna_single        k2=3     | 0.980007 +/- 0.006772 | 0.944333 +/- 0.009866 | 0.055556 +/- 0.096225
semantic_lna_single        k2=4     | 0.982497 +/- 0.008690 | 0.944500 +/- 0.009987 | 0.055556 +/- 0.096225
semantic_lna_single        k2=5     | 0.983828 +/- 0.010209 | 0.945000 +/- 0.010392 | 0.055556 +/- 0.096225
semantic_lna_random_single k2=0     | 0.938909 +/- 0.019073 | 0.905167 +/- 0.029353 | 0.010101 +/- 0.017495
semantic_lna_random_single k2=1     | 0.948297 +/- 0.015899 | 0.917333 +/- 0.023714 | 0.020833 +/- 0.036084
semantic_lna_random_single k2=2     | 0.955702 +/- 0.013668 | 0.925000 +/- 0.019313 | 0.020202 +/- 0.034991
semantic_lna_random_single k2=3     | 0.959856 +/- 0.012990 | 0.930333 +/- 0.015861 | 0.043011 +/- 0.074497
semantic_lna_random_single k2=4     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     
semantic_lna_random_single k2=5     |    FAIL +/- 0      |    FAIL +/- 0      |    FAIL +/- 0     

────────────────────────────────────────────────────────────────
Experiment: fov7_20c8p_r120_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.940160 +/- 0.004225 | 0.798929 +/- 0.034994 | 0.000000 +/- 0.000000
semantic                   1        | 0.975284 +/- 0.006035 | 0.967619 +/- 0.010621 | 0.227778 +/- 0.025459
semantic                   2        | 0.991460 +/- 0.002694 | 0.994167 +/- 0.003950 | 0.698618 +/- 0.105425
semantic                   3        | 0.996871 +/- 0.001795 | 0.999286 +/- 0.000619 | 0.923809 +/- 0.016495
semantic                   4        | 0.998934 +/- 0.000996 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic                   5        | 0.999858 +/- 0.000086 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.940160 +/- 0.004225 | 0.798929 +/- 0.034994 | 0.000000 +/- 0.000000
semantic_random            1        | 0.949560 +/- 0.005394 | 0.845238 +/- 0.027762 | 0.000000 +/- 0.000000
semantic_random            2        | 0.955828 +/- 0.005119 | 0.872381 +/- 0.016294 | 0.009009 +/- 0.015604
semantic_random            3        | 0.961635 +/- 0.005053 | 0.895476 +/- 0.013422 | 0.027068 +/- 0.026348
semantic_random            4        | 0.966939 +/- 0.005885 | 0.913929 +/- 0.008073 | 0.018533 +/- 0.016068
semantic_random            5        | 0.971827 +/- 0.004709 | 0.932857 +/- 0.009923 | 0.047479 +/- 0.017374
semantic_lna               k2=0     | 0.956244 +/- 0.010149 | 0.852667 +/- 0.041882 | 0.000000 +/- 0.000000
semantic_lna               k2=1     | 0.970270 +/- 0.005890 | 0.908333 +/- 0.028637 | 0.023098 +/- 0.020146
semantic_lna               k2=2     | 0.976597 +/- 0.003469 | 0.913667 +/- 0.028646 | 0.024444 +/- 0.021430
semantic_lna               k2=3     | 0.978289 +/- 0.002439 | 0.914500 +/- 0.029013 | 0.024444 +/- 0.021430
semantic_lna               k2=4     | 0.978806 +/- 0.002067 | 0.914833 +/- 0.028444 | 0.024444 +/- 0.021430
semantic_lna               k2=5     | 0.978874 +/- 0.001997 | 0.914833 +/- 0.028444 | 0.024444 +/- 0.021430
semantic_lna_random        k2=0     | 0.956244 +/- 0.010149 | 0.852667 +/- 0.041882 | 0.000000 +/- 0.000000
semantic_lna_random        k2=1     | 0.960786 +/- 0.008795 | 0.870000 +/- 0.035086 | 0.000000 +/- 0.000000
semantic_lna_random        k2=2     | 0.964504 +/- 0.007869 | 0.882500 +/- 0.030631 | 0.010753 +/- 0.018624
semantic_lna_random        k2=3     | 0.967710 +/- 0.006963 | 0.893667 +/- 0.032929 | 0.010753 +/- 0.018624
semantic_lna_random        k2=4     | 0.970284 +/- 0.005928 | 0.897000 +/- 0.032821 | 0.010417 +/- 0.018042
semantic_lna_random        k2=5     | 0.972550 +/- 0.005192 | 0.904333 +/- 0.030072 | 0.010753 +/- 0.018624
semantic_lna_single        k2=0     | 0.956244 +/- 0.010149 | 0.852667 +/- 0.041882 | 0.000000 +/- 0.000000
semantic_lna_single        k2=1     | 0.967759 +/- 0.005625 | 0.889167 +/- 0.032788 | 0.022657 +/- 0.019698
semantic_lna_single        k2=2     | 0.971445 +/- 0.003674 | 0.892333 +/- 0.034700 | 0.023098 +/- 0.020146
semantic_lna_single        k2=3     | 0.972095 +/- 0.003376 | 0.892667 +/- 0.034584 | 0.023098 +/- 0.020146
semantic_lna_single        k2=4     | 0.972230 +/- 0.003283 | 0.892667 +/- 0.034584 | 0.023098 +/- 0.020146
semantic_lna_single        k2=5     | 0.972253 +/- 0.003251 | 0.892667 +/- 0.034584 | 0.023098 +/- 0.020146
semantic_lna_random_single k2=0     | 0.956244 +/- 0.010149 | 0.852667 +/- 0.041882 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=1     | 0.961117 +/- 0.009213 | 0.870667 +/- 0.038146 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=2     | 0.964045 +/- 0.008041 | 0.876667 +/- 0.039346 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=3     | 0.966768 +/- 0.006287 | 0.884500 +/- 0.039500 | 0.011905 +/- 0.020619
