label,mode,k,sr_mean,sr_std,sr_correct,sr_incorrect,sr_total,act_mean,act_std,act_correct,act_incorrect,act_total,traj_mean,traj_std,traj_total,traj_success,traj_violated,traj_incomplete
fov5_20c8p_r70_discriminative,semantic,0,0.906645,0.024966,225333,23144,248477,0.904643,0.028809,7599,801,8400,0.024594,0.022294,84,2,82,26
fov5_20c8p_r70_discriminative,semantic,1,0.958048,0.017363,238093,10384,248477,0.980357,0.009923,8235,165,8400,0.148358,0.013169,60,9,51,50
fov5_20c8p_r70_discriminative,semantic,2,0.977698,0.010057,242959,5518,248477,0.992976,0.006022,8341,59,8400,0.462704,0.174347,45,19,26,65
fov5_20c8p_r70_discriminative,semantic,3,0.989930,0.007528,245988,2489,248477,0.997976,0.000412,8383,17,8400,0.695202,0.060872,34,24,10,76
fov5_20c8p_r70_discriminative,semantic,4,0.996127,0.003955,247518,959,248477,0.999643,0.000357,8397,3,8400,0.920635,0.083616,28,26,2,82
fov5_20c8p_r70_discriminative,semantic,5,0.999189,0.000822,248279,198,248477,1.000000,0.000000,8400,0,8400,1.000000,0.000000,26,26,0,84
fov5_20c8p_r70_discriminative,semantic_random,0,0.906645,0.024966,225333,23144,248477,0.904643,0.028809,7599,801,8400,0.024594,0.022294,84,2,82,26
fov5_20c8p_r70_discriminative,semantic_random,1,0.917778,0.023346,228105,20372,248477,0.920953,0.022726,7736,664,8400,0.035326,0.032038,83,3,80,27
fov5_20c8p_r70_discriminative,semantic_random,2,0.927217,0.021489,230450,18027,248477,0.932143,0.019309,7830,570,8400,0.024594,0.022294,82,2,80,28
fov5_20c8p_r70_discriminative,semantic_random,3,0.933713,0.019966,232064,16413,248477,0.940833,0.018272,7903,497,8400,0.025974,0.024103,81,2,79,29
fov5_20c8p_r70_discriminative,semantic_random,4,0.940828,0.019881,233824,14653,248477,0.950000,0.016440,7980,420,8400,0.038389,0.007103,80,3,77,30
fov5_20c8p_r70_discriminative,semantic_random,5,0.948044,0.016023,235613,12864,248477,0.962143,0.011456,8082,318,8400,0.105578,0.029778,77,8,69,33
fov5_20c8p_r70_discriminative,semantic_lna,k2=0,0.922927,0.032934,164033,13637,177670,0.888167,0.023094,5329,671,6000,0.027497,0.024182,70,2,68,16
fov5_20c8p_r70_discriminative,semantic_lna,k2=1,0.953871,0.015891,169508,8162,177670,0.923667,0.020275,5542,458,6000,0.048814,0.009469,63,3,60,23
fov5_20c8p_r70_discriminative,semantic_lna,k2=2,0.970558,0.004219,172454,5216,177670,0.928000,0.019577,5568,432,6000,0.049370,0.008711,62,3,59,24
fov5_20c8p_r70_discriminative,semantic_lna,k2=3,0.976861,0.001572,173558,4112,177670,0.934167,0.015495,5605,395,6000,0.066155,0.015673,59,4,55,27
fov5_20c8p_r70_discriminative,semantic_lna,k2=4,0.980570,0.001709,174208,3462,177670,0.934667,0.015495,5608,392,6000,0.068338,0.016494,57,4,53,29
fov5_20c8p_r70_discriminative,semantic_lna,k2=5,0.981921,0.002814,174444,3226,177670,0.935000,0.016039,5610,390,6000,0.069727,0.015923,56,4,52,30
fov5_20c8p_r70_discriminative,semantic_lna_random,k2=0,0.922927,0.032934,164033,13637,177670,0.888167,0.023094,5329,671,6000,0.027497,0.024182,70,2,68,16
fov5_20c8p_r70_discriminative,semantic_lna_random,k2=1,0.931522,0.028388,165552,12118,177670,0.900000,0.021857,5400,600,6000,0.027497,0.024182,70,2,68,16
fov5_20c8p_r70_discriminative,semantic_lna_random,k2=2,0.938561,0.024267,166793,10877,177670,0.907833,0.026222,5447,553,6000,0.027497,0.024182,69,2,67,17
fov5_20c8p_r70_discriminative,semantic_lna_random,k2=3,0.944756,0.020517,167888,9782,177670,0.911500,0.021113,5469,531,6000,0.027497,0.024182,69,2,67,17
fov5_20c8p_r70_discriminative,semantic_lna_random,k2=4,0.949711,0.018445,168762,8908,177670,0.917167,0.021097,5503,497,6000,0.041514,0.038823,67,3,64,19
