==============================================================
  FULL EXPERIMENT SUMMARY — Sat Apr  4 08:14:11 EDT 2026
==============================================================

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                   k        | Subrule DSR        | Action DSR         | Trajectory SR     
semantic_random        2        | 0.960253 ± 0.019534 | 0.963809 ± 0.007235 | 0.000000 ± 0.000000
semantic_random        3        | 0.964073 ± 0.017791 | 0.968095 ± 0.007579 | 0.017544 ± 0.030387
semantic_random        4        | 0.968369 ± 0.015269 | 0.973571 ± 0.007170 | 0.000000 ± 0.000000
semantic_random        5        | 0.971453 ± 0.013793 | 0.975714 ± 0.003863 | 0.000000 ± 0.000000
semantic_lna           k2=0     | 0.959242 ± 0.020244 | 0.958167 ± 0.003819 | 0.000000 ± 0.000000
semantic_lna           k2=1     | 0.978656 ± 0.008223 | 0.968833 ± 0.003329 | 0.022222 ± 0.038490
semantic_lna           k2=2     | 0.983422 ± 0.008274 | 0.974333 ± 0.002363 | 0.044444 ± 0.076980
semantic_lna           k2=3     | 0.983955 ± 0.008478 | 0.974333 ± 0.002363 | 0.044444 ± 0.076980
semantic_lna           k2=4     | 0.983955 ± 0.008478 | 0.974333 ± 0.002363 | 0.044444 ± 0.076980
semantic_lna           k2=5     | 0.983955 ± 0.008478 | 0.974333 ± 0.002363 | 0.044444 ± 0.076980
semantic_lna_random    k2=0     | 0.959242 ± 0.020244 | 0.958167 ± 0.003819 | 0.000000 ± 0.000000
semantic_lna_random    k2=1     | 0.963700 ± 0.017530 | 0.963333 ± 0.001041 | 0.000000 ± 0.000000
semantic_lna_random    k2=2     | 0.968323 ± 0.013821 | 0.964500 ± 0.001323 | 0.000000 ± 0.000000
semantic_lna_random    k2=3     | 0.970872 ± 0.012581 | 0.966833 ± 0.000289 | 0.022222 ± 0.038490
semantic_lna_random    k2=4     | 0.974355 ± 0.010320 | 0.967500 ± 0.000500 | 0.022222 ± 0.038490
semantic_lna_random    k2=5     | 0.977058 ± 0.008587 | 0.970333 ± 0.001528 | 0.022222 ± 0.038490
semantic_lna_single    k2=0     | 0.959502 ± 0.020629 | 0.958167 ± 0.003819 | 0.000000 ± 0.000000
semantic_lna_single    k2=1     | 0.980520 ± 0.010666 | 0.972167 ± 0.000764 | 0.027778 ± 0.048112
semantic_lna_single    k2=2     | 0.983960 ± 0.010539 | 0.973500 ± 0.000500 | 0.027778 ± 0.048112
semantic_lna_single    k2=3     | 0.984128 ± 0.010624 | 0.973500 ± 0.000500 | 0.027778 ± 0.048112
semantic_lna_single    k2=4     | 0.984139 ± 0.010606 | 0.973500 ± 0.000500 | 0.027778 ± 0.048112
semantic_lna_single    k2=5     | 0.984139 ± 0.010606 | 0.973500 ± 0.000500 | 0.027778 ± 0.048112
semantic_lna_random_single k2=0     | 0.959502 ± 0.020629 | 0.958167 ± 0.003819 | 0.000000 ± 0.000000
semantic_lna_random_single k2=1     | 0.965397 ± 0.017710 | 0.964667 ± 0.001756 | 0.000000 ± 0.000000
semantic_lna_random_single k2=2     | 0.970009 ± 0.015358 | 0.966500 ± 0.002000 | 0.000000 ± 0.000000
semantic_lna_random_single k2=3     | 0.973968 ± 0.013786 | 0.969167 ± 0.001528 | 0.000000 ± 0.000000
semantic_lna_random_single k2=4     | 0.976454 ± 0.011829 | 0.969833 ± 0.000764 | 0.000000 ± 0.000000
semantic_lna_random_single k2=5     | 0.978755 ± 0.010433 | 0.971500 ± 0.000500 | 0.000000 ± 0.000000

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_original
────────────────────────────────────────────────────────────────
Mode                   k        | Subrule DSR        | Action DSR         | Trajectory SR     
--------------------------------|--------------------|--------------------|-------------------
semantic               0        | 0.845501 ± 0.022486 | 0.900238 ± 0.021918 | 0.155252 ± 0.043710
semantic               1        | 0.920094 ± 0.003839 | 1.000000 ± 0.000000 | 1.000000 ± 0.000000
semantic               2        | 0.927694 ± 0.001422 | 1.000000 ± 0.000000 | 1.000000 ± 0.000000
semantic               3        | 0.928061 ± 0.000883 | 1.000000 ± 0.000000 | 1.000000 ± 0.000000
semantic               4        | 0.928571 ± 0.000000 | 1.000000 ± 0.000000 | 1.000000 ± 0.000000
semantic               5        | 0.928571 ± 0.000000 | 1.000000 ± 0.000000 | 1.000000 ± 0.000000
semantic_random        0        | 0.845501 ± 0.022486 | 0.900238 ± 0.021918 | 0.155252 ± 0.043710
semantic_random        1        | 0.854732 ± 0.019033 | 0.912619 ± 0.017704 | 0.156838 ± 0.046396
semantic_random        2        | 0.862850 ± 0.018548 | 0.923690 ± 0.014438 | 0.174191 ± 0.059203
semantic_random        3        | 0.872634 ± 0.015865 | 0.937262 ± 0.015396 | 0.188750 ± 0.053077
semantic_random        4        | 0.878602 ± 0.012369 | 0.944643 ± 0.011807 | 0.222021 ± 0.053274
semantic_random        5        | 0.886598 ± 0.009445 | 0.953809 ± 0.007020 | 0.236574 ± 0.057607
semantic_lna           k2=0     | 0.902387 ± 0.018943 | 0.879167 ± 0.025643 | 0.123338 ± 0.038072
semantic_lna           k2=1     | 0.926122 ± 0.013968 | 0.912833 ± 0.023459 | 0.183333 ± 0.076376
semantic_lna           k2=2     | 0.927657 ± 0.014154 | 0.912833 ± 0.023459 | 0.183333 ± 0.076376
semantic_lna           k2=3     | 0.927714 ± 0.014097 | 0.912833 ± 0.023459 | 0.183333 ± 0.076376
semantic_lna           k2=4     | 0.927714 ± 0.014097 | 0.912833 ± 0.023459 | 0.183333 ± 0.076376
semantic_lna           k2=5     | 0.927714 ± 0.014097 | 0.912833 ± 0.023459 | 0.183333 ± 0.076376
semantic_lna_random    k2=0     | 0.902387 ± 0.018943 | 0.879167 ± 0.025643 | 0.123338 ± 0.038072
semantic_lna_random    k2=1     | 0.907424 ± 0.017198 | 0.886333 ± 0.024002 | 0.124339 ± 0.037507
semantic_lna_random    k2=2     | 0.913947 ± 0.016700 | 0.894333 ± 0.026279 | 0.134262 ± 0.038595
semantic_lna_random    k2=3     | 0.915572 ± 0.016867 | 0.896167 ± 0.026350 | 0.137749 ± 0.060408
semantic_lna_random    k2=4     | 0.918516 ± 0.015990 | 0.899667 ± 0.025320 | 0.136748 ± 0.061091
semantic_lna_random    k2=5     | 0.921412 ± 0.016261 | 0.904000 ± 0.025105 | 0.167761 ± 0.073077
semantic_lna_single    k2=0     | 0.895628 ± 0.017348 | 0.873833 ± 0.020324 | 0.123597 ± 0.048481
semantic_lna_single    k2=1     | 0.911377 ± 0.015776 | 0.898500 ± 0.022489 | 0.185657 ± 0.082086
semantic_lna_single    k2=2     | 0.912499 ± 0.016258 | 0.898500 ± 0.022489 | 0.185657 ± 0.082086
semantic_lna_single    k2=3     | 0.912557 ± 0.016192 | 0.898500 ± 0.022489 | 0.185657 ± 0.082086
semantic_lna_single    k2=4     | 0.912557 ± 0.016192 | 0.898500 ± 0.022489 | 0.185657 ± 0.082086
semantic_lna_single    k2=5     | 0.912557 ± 0.016192 | 0.898500 ± 0.022489 | 0.185657 ± 0.082086
semantic_lna_random_single k2=0     | 0.895628 ± 0.017348 | 0.873833 ± 0.020324 | 0.123597 ± 0.048481
semantic_lna_random_single k2=1     | 0.899226 ± 0.016525 | 0.878833 ± 0.020410 | 0.161818 ± 0.066553
semantic_lna_random_single k2=2     | 0.902298 ± 0.016250 | 0.884500 ± 0.021077 | 0.145459 ± 0.064289
semantic_lna_random_single k2=3     | 0.904997 ± 0.015383 | 0.889333 ± 0.020618 | 0.164795 ± 0.065206
semantic_lna_random_single k2=4     | 0.906926 ± 0.015003 | 0.891167 ± 0.020817 | 0.168398 ± 0.067487
semantic_lna_random_single k2=5     | 0.908343 ± 0.014395 | 0.892833 ± 0.020386 | 0.168398 ± 0.067487

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_spatial
────────────────────────────────────────────────────────────────
Mode                   k        | Subrule DSR        | Action DSR         | Trajectory SR     
--------------------------------|--------------------|--------------------|-------------------
semantic               0        | 0.907300 ± 0.016107 | 0.970476 ± 0.010110 | 0.000000 ± 0.000000
semantic               1        | 0.968782 ± 0.004214 | 0.997500 ± 0.001071 | 0.000000 ± 0.000000
semantic               2        | 0.987787 ± 0.003964 | 0.999881 ± 0.000206 | 0.000000 ± 0.000000
semantic               3        | 0.995519 ± 0.002463 | 1.000000 ± 0.000000 | 0.000000 ± 0.000000
semantic               4        | 0.999751 ± 0.000260 | 1.000000 ± 0.000000 | 0.000000 ± 0.000000
semantic               5        | 0.999971 ± 0.000050 | 1.000000 ± 0.000000 | 0.000000 ± 0.000000
semantic_random        0        | 0.907300 ± 0.016107 | 0.970476 ± 0.010110 | 0.000000 ± 0.000000
semantic_random        1        | 0.916910 ± 0.012640 | 0.975000 ± 0.009265 | 0.000000 ± 0.000000
semantic_random        2        | 0.926035 ± 0.010963 | 0.978452 ± 0.006291 | 0.000000 ± 0.000000
semantic_random        3        | 0.933795 ± 0.010226 | 0.983571 ± 0.005901 | 0.000000 ± 0.000000
semantic_random        4        | 0.941518 ± 0.006377 | 0.986191 ± 0.002995 | 0.000000 ± 0.000000
semantic_random        5        | 0.949410 ± 0.005538 | 0.989167 ± 0.001797 | 0.000000 ± 0.000000
semantic_lna           k2=0     | 0.925798 ± 0.009340 | 0.970000 ± 0.009097 | 0.000000 ± 0.000000
semantic_lna           k2=1     | 0.965710 ± 0.009131 | 0.985000 ± 0.002646 | 0.000000 ± 0.000000
semantic_lna           k2=2     | 0.978842 ± 0.005563 | 0.985833 ± 0.001893 | 0.000000 ± 0.000000
semantic_lna           k2=3     | 0.981215 ± 0.005794 | 0.986000 ± 0.001732 | 0.000000 ± 0.000000
semantic_lna           k2=4     | 0.981395 ± 0.005933 | 0.986000 ± 0.001732 | 0.000000 ± 0.000000
semantic_lna           k2=5     | 0.981415 ± 0.005950 | 0.986000 ± 0.001732 | 0.000000 ± 0.000000
semantic_lna_random    k2=0     | 0.925798 ± 0.009340 | 0.970000 ± 0.009097 | 0.000000 ± 0.000000
semantic_lna_random    k2=1     | 0.936262 ± 0.006513 | 0.974333 ± 0.008251 | 0.000000 ± 0.000000
semantic_lna_random    k2=2     | 0.942954 ± 0.005587 | 0.975833 ± 0.006252 | 0.000000 ± 0.000000
semantic_lna_random    k2=3     | 0.949136 ± 0.005158 | 0.977500 ± 0.005074 | 0.000000 ± 0.000000
semantic_lna_random    k2=4     | 0.955198 ± 0.005448 | 0.980500 ± 0.004093 | 0.000000 ± 0.000000
semantic_lna_random    k2=5     | 0.961289 ± 0.004352 | 0.981333 ± 0.003512 | 0.000000 ± 0.000000
semantic_lna_single    k2=0     | 0.927840 ± 0.006855 | 0.970167 ± 0.009385 | 0.000000 ± 0.000000
semantic_lna_single    k2=1     | 0.966655 ± 0.008145 | 0.983667 ± 0.003884 | 0.000000 ± 0.000000
semantic_lna_single    k2=2     | 0.982551 ± 0.007816 | 0.983833 ± 0.003819 | 0.000000 ± 0.000000
semantic_lna_single    k2=3     | 0.985524 ± 0.009187 | 0.984000 ± 0.003606 | 0.000000 ± 0.000000
semantic_lna_single    k2=4     | 0.985718 ± 0.009173 | 0.984000 ± 0.003606 | 0.000000 ± 0.000000
semantic_lna_single    k2=5     | 0.985738 ± 0.009170 | 0.984000 ± 0.003606 | 0.000000 ± 0.000000
semantic_lna_random_single k2=0     | 0.927840 ± 0.006855 | 0.970167 ± 0.009385 | 0.000000 ± 0.000000
semantic_lna_random_single k2=1     | 0.940810 ± 0.003383 | 0.974833 ± 0.007024 | 0.000000 ± 0.000000
semantic_lna_random_single k2=2     | 0.950189 ± 0.001711 | 0.978667 ± 0.004537 | 0.000000 ± 0.000000
semantic_lna_random_single k2=3     | 0.958398 ± 0.002791 | 0.980500 ± 0.005000 | 0.000000 ± 0.000000
semantic_lna_random_single k2=4     | 0.963678 ± 0.005540 | 0.980667 ± 0.005508 | 0.000000 ± 0.000000
semantic_lna_random_single k2=5     | 0.969766 ± 0.005553 | 0.982500 ± 0.004500 | 0.000000 ± 0.000000

